Financial Year,Type of flow,Country,Sector,Sector Name,Expense $'000
2014/15,ODA,Cambodia,31130,Agricultural land resources,42.5
2014/15,ODA,Cambodia,31161,Food crop production,157.5
2014/15,ODA,Cambodia,31163,Livestock,215.5
2014/15,ODA,Cambodia,31166,Agricultural extension,810
2014/15,ODA,Cambodia,31181,Agricultural education/training,292.3
2014/15,ODA,Cambodia,31182,Agricultural research,2261.1
2014/15,ODA,Cambodia,31193,Agricultural financial services,49.5
2014/15,ODA,Cambodia,31195,Livestock/veterinary services,84
2014/15,ODA,Cambodia,31310,Fishing policy and administrative management,146.2
2014/15,ODA,Cambodia,31382,Fishery research,126.3
2014/15,ODA,Cambodia,32110,Industrial policy and administrative management,22.5
2014/15,ODA,Cambodia,32120,Industrial development,42.5
2014/15,ODA,Cambodia,32130,Small and medium-sized enterprises (SME) development,35.7
2014/15,ODA,Cambodia,32140,Cottage industries and handicraft,67.4
2014/15,ODA,Cambodia,32161,Agro-industries,22.5
2014/15,ODA,Cambodia,32182,Technological research and development,119.6
2014/15,ODA,Cambodia,32210,Mineral/mining policy and administrative management,10
2014/15,ODA,Cambodia,33110,Trade policy and administrative management,650.9
2014/15,ODA,Cameroon,31120,Agricultural development,9.5
2014/15,ODA,Cameroon,31182,Agricultural research,224.6
2014/15,ODA,Cameroon,32210,Mineral/mining policy and administrative management,186.4
2014/15,ODA,Cape Verde,31140,Agricultural water resources,9.9
2014/15,ODA,Cape Verde,31391,Fishery services,7.1
2014/15,ODA,Chile,31150,Agricultural inputs,19.6
2014/15,ODA,Chile,33120,Trade facilitation,49.8
2014/15,ODA,China,23065,Hydro-electric power plants,125
2014/15,ODA,China,31140,Agricultural water resources,62.4
2014/15,ODA,China,31182,Agricultural research,643.2
2014/15,ODA,China,33120,Trade facilitation,49.8
2014/15,ODA,Colombia,31320,Fishery development,21.7
2014/15,ODA,Comoros,31181,Agricultural education/training,68.8
2014/15,ODA,"Congo, Dem. Rep.",31182,Agricultural research,224.6
2014/15,ODA,"Congo, Dem. Rep.",32210,Mineral/mining policy and administrative management,306.2
2014/15,ODA,Cote D'ivoire,31161,Food crop production,63.3
2014/15,ODA,Cote D'ivoire,32210,Mineral/mining policy and administrative management,91.8
2014/15,ODA,Dominica,31161,Food crop production,20.6
2014/15,ODA,Ecuador,32210,Mineral/mining policy and administrative management,10
2014/15,ODA,Egypt,31161,Food crop production,61.5
2014/15,ODA,Eritrea,31182,Agricultural research,42.8
2014/15,ODA,Ethiopia,22010,Communications policy and administrative management,42.5
2014/15,ODA,Ethiopia,22040,Information and communication technology (ICT),85
2014/15,ODA,Ethiopia,31120,Agricultural development,124.6
2014/15,ODA,Ethiopia,31161,Food crop production,335
2014/15,ODA,Ethiopia,31163,Livestock,74.9
2014/15,ODA,Ethiopia,31181,Agricultural education/training,42.5
2014/15,ODA,Ethiopia,31182,Agricultural research,2506.1
2014/15,ODA,Ethiopia,31220,Forestry development,42.5
2014/15,ODA,Ethiopia,31282,Forestry research,357.5
2014/15,ODA,Ethiopia,32110,Industrial policy and administrative management,67.4
2014/15,ODA,Ethiopia,32210,Mineral/mining policy and administrative management,248.7
2014/15,ODA,Far East Asia Unspecified,21010,Transport policy and administrative management,77.1
2014/15,ODA,Far East Asia Unspecified,24010,Financial policy and administrative management,2100
2014/15,ODA,Far East Asia Unspecified,31110,Agricultural policy and administrative management,400
2014/15,ODA,Far East Asia Unspecified,33110,Trade policy and administrative management,1301.8
2014/15,ODA,Far East Asia Unspecified,33130,Regional trade agreements (RTAs),4216.6
2014/15,ODA,Fiji,21010,Transport policy and administrative management,22.5
2014/15,ODA,Fiji,22010,Communications policy and administrative management,42.5
2014/15,ODA,Fiji,22040,Information and communication technology (ICT),42.5
2014/15,ODA,Fiji,23010,Energy policy and administrative management,15
2014/15,ODA,Fiji,23050,Gas distribution,16.6
2014/15,ODA,Fiji,24010,Financial policy and administrative management,42.5
2014/15,ODA,Fiji,24040,Informal/semi-formal financial intermediaries,298.4
2014/15,ODA,Fiji,24081,Education/training in banking and financial services,42.5
2014/15,ODA,Fiji,25010,Business support services and institutions,741.7
2014/15,ODA,Fiji,31120,Agricultural development,214.4
2014/15,ODA,Fiji,31130,Agricultural land resources,247.5
2014/15,ODA,Fiji,31161,Food crop production,210.7
2014/15,ODA,Fiji,31162,Industrial crops/export crops,0.2
2014/15,ODA,Fiji,31181,Agricultural education/training,635.1
2014/15,ODA,Fiji,31182,Agricultural research,752
2014/15,ODA,Fiji,31194,Agricultural co-operatives,22.5
2014/15,ODA,Fiji,31282,Forestry research,309.8
2014/15,ODA,Fiji,31310,Fishing policy and administrative management,411.4
2014/15,ODA,Fiji,31320,Fishery development,263.2
2014/15,ODA,Fiji,31382,Fishery research,274.1
2014/15,ODA,Fiji,32130,Small and medium-sized enterprises (SME) development,2240.1
2014/15,ODA,Fiji,32140,Cottage industries and handicraft,49
2014/15,ODA,Fiji,32210,Mineral/mining policy and administrative management,59.9
2014/15,ODA,Fiji,33110,Trade policy and administrative management,625.2
2014/15,ODA,Gambia,31120,Agricultural development,47.8
2014/15,ODA,Ghana,25010,Business support services and institutions,44.9
2014/15,ODA,Ghana,31110,Agricultural policy and administrative management,50.2
2014/15,ODA,Ghana,31120,Agricultural development,22.5
2014/15,ODA,Ghana,31162,Industrial crops/export crops,29.5
2014/15,ODA,Ghana,31181,Agricultural education/training,22.5
2014/15,ODA,Ghana,31182,Agricultural research,24.4
2014/15,ODA,Ghana,31191,Agricultural services,16
2014/15,ODA,Ghana,32110,Industrial policy and administrative management,44.9
2014/15,ODA,Ghana,32130,Small and medium-sized enterprises (SME) development,90.9
2014/15,ODA,Ghana,32161,Agro-industries,67.4
2014/15,ODA,Ghana,32210,Mineral/mining policy and administrative management,1877.2
2014/15,ODA,Global Unspecified,21010,Transport policy and administrative management,5565
2014/15,ODA,Global Unspecified,21020,Road transport,40809.5
2014/15,ODA,Global Unspecified,21030,Rail transport,1457.4
2014/15,ODA,Global Unspecified,21040,Water transport,1977.8
2014/15,ODA,Global Unspecified,21050,Air transport,2444.2
2014/15,ODA,Global Unspecified,21061,Storage,3.5
2014/15,ODA,Global Unspecified,21081,Education and training in transport and storage,0.1
2014/15,ODA,Global Unspecified,22010,Communications policy and administrative management,1750
2014/15,ODA,Global Unspecified,22020,Telecommunications,1605.1
2014/15,ODA,Global Unspecified,22040,Information and communication technology (ICT),418.6
2014/15,ODA,Global Unspecified,23010,Energy policy and administrative management,6482.4
2014/15,ODA,Global Unspecified,23020,Power generation/non-renewable sources,9574.8
2014/15,ODA,Global Unspecified,23030,Power generation/renewable sources,3289
2014/15,ODA,Global Unspecified,23040,Electrical transmission/ distribution,11688.8
2014/15,ODA,Global Unspecified,23050,Gas distribution,269.1
2014/15,ODA,Global Unspecified,23061,Oil-fired power plants,6.5
2014/15,ODA,Global Unspecified,23065,Hydro-electric power plants,1519.9
2014/15,ODA,Global Unspecified,23066,Geothermal energy,415.3
2014/15,ODA,Global Unspecified,23067,Solar energy,100
2014/15,ODA,Global Unspecified,23068,Wind power,32.4
2014/15,ODA,Global Unspecified,23070,Biomass,144.1
2014/15,ODA,Global Unspecified,23110,Energy policy and administrative management,1285.6
2014/15,ODA,Global Unspecified,23181,Energy education/training,90.9
2014/15,ODA,Global Unspecified,23210,Power generation/renewable sources,429.9
2014/15,ODA,Global Unspecified,23220,Hydro-electric power plants,504.7
2014/15,ODA,Global Unspecified,23230,Solar energy,160.9
2014/15,ODA,Global Unspecified,23240,Wind power,6.4
2014/15,ODA,Global Unspecified,23260,Geothermal energy,83.4
2014/15,ODA,Global Unspecified,23270,Biofuel-fired power plants,2.9
2014/15,ODA,Global Unspecified,23310,Power generation/non-renewable sources,84.9
2014/15,ODA,Global Unspecified,23340,Gas-fired power plants,195.5
2014/15,ODA,Global Unspecified,23630,Electrical transmission/distribution,1498.5
2014/15,ODA,Global Unspecified,23640,Gas distribution,3.5
2014/15,ODA,Global Unspecified,24010,Financial policy and administrative management,15736
2014/15,ODA,Global Unspecified,24020,Monetary institutions,96.9
2014/15,ODA,Global Unspecified,24030,Formal sector financial intermediaries,3132.4
2014/15,ODA,Global Unspecified,24040,Informal/semi-formal financial intermediaries,6042.7
2014/15,ODA,Global Unspecified,24081,Education/training in banking and financial services,7.8
2014/15,ODA,Global Unspecified,25010,Business support services and institutions,5976.5
2014/15,ODA,Global Unspecified,25020,Privatisation,271.5
2014/15,ODA,Global Unspecified,31110,Agricultural policy and administrative management,11331.4
2014/15,ODA,Global Unspecified,31120,Agricultural development,1421
2014/15,ODA,Global Unspecified,31130,Agricultural land resources,1196.2
2014/15,ODA,Global Unspecified,31140,Agricultural water resources,8704
2014/15,ODA,Global Unspecified,31150,Agricultural inputs,178
2014/15,ODA,Global Unspecified,31161,Food crop production,3892.8
2014/15,ODA,Global Unspecified,31162,Industrial crops/export crops,202
2014/15,ODA,Global Unspecified,31163,Livestock,972.4
2014/15,ODA,Global Unspecified,31166,Agricultural extension,1297.3
2014/15,ODA,Global Unspecified,31181,Agricultural education/training,3601.3
2014/15,ODA,Global Unspecified,31182,Agricultural research,26781.7
2014/15,ODA,Global Unspecified,31191,Agricultural services,1242.5
2014/15,ODA,Global Unspecified,31192,Plant and post-harvest protection and pest control,336.6
2014/15,ODA,Global Unspecified,31193,Agricultural financial services,165.8
2014/15,ODA,Global Unspecified,31194,Agricultural co-operatives,136.4
2014/15,ODA,Global Unspecified,31195,Livestock/veterinary services,25.8
2014/15,ODA,Global Unspecified,31210,Forestry policy and administrative management,470.8
2014/15,ODA,Global Unspecified,31220,Forestry development,455.5
2014/15,ODA,Global Unspecified,31261,Fuelwood/charcoal,43.2
2014/15,ODA,Global Unspecified,31282,Forestry research,12.9
2014/15,ODA,Global Unspecified,31310,Fishing policy and administrative management,120.3
2014/15,ODA,Global Unspecified,31320,Fishery development,285.9
2014/15,ODA,Global Unspecified,31381,Fishery education/training,5.5
2014/15,ODA,Global Unspecified,31382,Fishery research,7.6
2014/15,ODA,Global Unspecified,32110,Industrial policy and administrative management,2741.6
2014/15,ODA,Global Unspecified,32120,Industrial development,77.3
2014/15,ODA,Global Unspecified,32130,Small and medium-sized enterprises (SME) development,1863.5
2014/15,ODA,Global Unspecified,32161,Agro-industries,1272.2
2014/15,ODA,Global Unspecified,32162,Forest industries,9.2
2014/15,ODA,Global Unspecified,32163,"Textiles, leather and substitutes",13.6
2014/15,ODA,Global Unspecified,32164,Chemicals,18.2
2014/15,ODA,Global Unspecified,32165,Fertilizer plants,27.7
2014/15,ODA,Global Unspecified,32168,Pharmaceutical production,0.4
2014/15,ODA,Global Unspecified,32182,Technological research and development,876.1
2014/15,ODA,Global Unspecified,32210,Mineral/mining policy and administrative management,7597.2
2014/15,ODA,Global Unspecified,32220,Mineral prospection and exploration,20
2014/15,ODA,Global Unspecified,32262,Oil and gas,3504.3
2014/15,ODA,Global Unspecified,32263,Ferrous metals,3.8
2014/15,ODA,Global Unspecified,32265,Precious metals/materials,1.8
2014/15,ODA,Global Unspecified,33110,Trade policy and administrative management,6790.7
2014/15,ODA,Global Unspecified,33120,Trade facilitation,7181.9
2014/15,ODA,Global Unspecified,33130,Regional trade agreements (RTAs),413.9
2014/15,ODA,Global Unspecified,33140,Multilateral trade negotiations,871.5
2014/15,ODA,Global Unspecified,33150,Trade-related adjustment,21.1
2014/15,ODA,Global Unspecified,33181,Trade education/training,1250
2014/15,ODA,Global Unspecified,33210,Tourism policy and administrative management,791.1
2014/15,ODA,Guinea-Bissau,31194,Agricultural co-operatives,6.1
2014/15,ODA,India,21020,Road transport,20.1
2014/15,ODA,India,23010,Energy policy and administrative management,1500
2014/15,ODA,India,23067,Solar energy,25.6
2014/15,ODA,India,31120,Agricultural development,853.5
2014/15,ODA,India,31130,Agricultural land resources,100
2014/15,ODA,India,31182,Agricultural research,1927.4
2014/15,ODA,India,32182,Technological research and development,154.2
2014/15,ODA,India,33110,Trade policy and administrative management,732.6
2014/15,ODA,Indonesia,21010,Transport policy and administrative management,39946.5
2014/15,ODA,Indonesia,21020,Road transport,22198
2014/15,ODA,Indonesia,21040,Water transport,58.5
2014/15,ODA,Indonesia,21081,Education and training in transport and storage,134.5
2014/15,ODA,Indonesia,22010,Communications policy and administrative management,86.4
2014/15,ODA,Indonesia,22030,Radio/television/print media,108.8
2014/15,ODA,Indonesia,22040,Information and communication technology (ICT),129.6
2014/15,ODA,Indonesia,23010,Energy policy and administrative management,7841.6
2014/15,ODA,Indonesia,24010,Financial policy and administrative management,4660.8
2014/15,ODA,Indonesia,24040,Informal/semi-formal financial intermediaries,1340
2014/15,ODA,Indonesia,24081,Education/training in banking and financial services,1807.2
2014/15,ODA,Indonesia,25010,Business support services and institutions,1222.1
2014/15,ODA,Indonesia,31110,Agricultural policy and administrative management,4558.4
2014/15,ODA,Indonesia,31120,Agricultural development,14641.9
2014/15,ODA,Indonesia,31130,Agricultural land resources,113.5
2014/15,ODA,Indonesia,31161,Food crop production,62.1
2014/15,ODA,Indonesia,31162,Industrial crops/export crops,357.9
2014/15,ODA,Indonesia,31165,Agricultural alternative development,5.5
2014/15,ODA,Indonesia,31166,Agricultural extension,43.2
2014/15,ODA,Indonesia,31181,Agricultural education/training,67.4
2014/15,ODA,Indonesia,31182,Agricultural research,6442.2
2014/15,ODA,Indonesia,31193,Agricultural financial services,22.5
2014/15,ODA,Indonesia,31195,Livestock/veterinary services,467.1
2014/15,ODA,Indonesia,31210,Forestry policy and administrative management,164.7
2014/15,ODA,Indonesia,31220,Forestry development,240.4
2014/15,ODA,Indonesia,31261,Fuelwood/charcoal,19.6
2014/15,ODA,Indonesia,31282,Forestry research,960.4
2014/15,ODA,Indonesia,31320,Fishery development,625.6
2014/15,ODA,Indonesia,31381,Fishery education/training,22.5
2014/15,ODA,Indonesia,31382,Fishery research,715.1
2014/15,ODA,Indonesia,32130,Small and medium-sized enterprises (SME) development,183.5
2014/15,ODA,Indonesia,32162,Forest industries,22.5
2014/15,ODA,Indonesia,32182,Technological research and development,1177.2
2014/15,ODA,Indonesia,32210,Mineral/mining policy and administrative management,1932.1
2014/15,ODA,Indonesia,33110,Trade policy and administrative management,3230.4
2014/15,ODA,Indonesia,33120,Trade facilitation,49.8
2014/15,ODA,Indonesia,33140,Multilateral trade negotiations,1504.7
2014/15,ODA,Indonesia,33210,Tourism policy and administrative management,108.8
2014/15,ODA,Iraq,31181,Agricultural education/training,29.3
2014/15,ODA,Jamaica,31163,Livestock,75.7
2014/15,ODA,Jordan,22010,Communications policy and administrative management,42.5
2014/15,ODA,Jordan,31140,Agricultural water resources,8.7
2014/15,ODA,Jordan,32140,Cottage industries and handicraft,23.8
2014/15,ODA,Kenya,22040,Information and communication technology (ICT),22.5
2014/15,ODA,Kenya,31110,Agricultural policy and administrative management,27.8
2014/15,ODA,Kenya,31120,Agricultural development,889.6
2014/15,ODA,Kenya,31161,Food crop production,828.2
2014/15,ODA,Kenya,31163,Livestock,22.5
2014/15,ODA,Kenya,31181,Agricultural education/training,22.5
2014/15,ODA,Kenya,31182,Agricultural research,3873.7
2014/15,ODA,Kenya,31191,Agricultural services,112.1
2014/15,ODA,Kenya,32130,Small and medium-sized enterprises (SME) development,28.7
2014/15,ODA,Kenya,32210,Mineral/mining policy and administrative management,459
2014/15,ODA,Kenya,33140,Multilateral trade negotiations,108
2014/15,ODA,Kiribati,21020,Road transport,3200
2014/15,ODA,Kiribati,24040,Informal/semi-formal financial intermediaries,11
2014/15,ODA,Kiribati,25010,Business support services and institutions,50
2014/15,ODA,Kiribati,31110,Agricultural policy and administrative management,549.1
2014/15,ODA,Kiribati,31120,Agricultural development,99.6
2014/15,ODA,Kiribati,31130,Agricultural land resources,22
2014/15,ODA,Kiribati,31181,Agricultural education/training,46.8
2014/15,ODA,Kiribati,31182,Agricultural research,10
2014/15,ODA,Kiribati,31310,Fishing policy and administrative management,440
2014/15,ODA,Kiribati,31320,Fishery development,263.2
2014/15,ODA,Kiribati,31382,Fishery research,91
2014/15,ODA,Kiribati,32171,Engineering,42.5
2014/15,ODA,Kiribati,33110,Trade policy and administrative management,9
2014/15,ODA,Laos,21081,Education and training in transport and storage,23.6
2014/15,ODA,Laos,23065,Hydro-electric power plants,500
2014/15,ODA,Laos,24010,Financial policy and administrative management,1594.6
2014/15,ODA,Laos,25010,Business support services and institutions,837.7
2014/15,ODA,Laos,31110,Agricultural policy and administrative management,726.7
2014/15,ODA,Laos,31120,Agricultural development,128.4
2014/15,ODA,Laos,31140,Agricultural water resources,667.8
2014/15,ODA,Laos,31161,Food crop production,219.4
2014/15,ODA,Laos,31163,Livestock,509.4
2014/15,ODA,Laos,31166,Agricultural extension,10.8
2014/15,ODA,Laos,31181,Agricultural education/training,22.5
2014/15,ODA,Laos,31182,Agricultural research,2595.9
2014/15,ODA,Laos,31192,Plant and post-harvest protection and pest control,89.8
2014/15,ODA,Laos,31195,Livestock/veterinary services,252.1
2014/15,ODA,Laos,31282,Forestry research,1243
2014/15,ODA,Laos,31310,Fishing policy and administrative management,8.6
2014/15,ODA,Laos,31320,Fishery development,22.5
2014/15,ODA,Laos,31382,Fishery research,116.6
2014/15,ODA,Laos,31391,Fishery services,292.7
2014/15,ODA,Laos,32110,Industrial policy and administrative management,22.5
2014/15,ODA,Laos,32130,Small and medium-sized enterprises (SME) development,22.5
2014/15,ODA,Laos,32182,Technological research and development,287.3
2014/15,ODA,Laos,32210,Mineral/mining policy and administrative management,213.6
2014/15,ODA,Laos,32220,Mineral prospection and exploration,22.5
2014/15,ODA,Laos,33110,Trade policy and administrative management,1663.9
2014/15,ODA,Laos,33210,Tourism policy and administrative management,22.5
2014/15,ODA,Lebanon,24040,Informal/semi-formal financial intermediaries,156.8
2014/15,ODA,Lebanon,31194,Agricultural co-operatives,64.3
2014/15,ODA,Lesotho,24010,Financial policy and administrative management,42.5
2014/15,ODA,Lesotho,31181,Agricultural education/training,42.5
2014/15,ODA,Lesotho,32210,Mineral/mining policy and administrative management,16.5
2014/15,ODA,Liberia,31181,Agricultural education/training,63.8
2014/15,ODA,Liberia,32210,Mineral/mining policy and administrative management,17.3
2014/15,ODA,Madagascar,32210,Mineral/mining policy and administrative management,877.4
2014/15,ODA,Malawi,22010,Communications policy and administrative management,42.5
2014/15,ODA,Malawi,24040,Informal/semi-formal financial intermediaries,133.4
2014/15,ODA,Malawi,31120,Agricultural development,397.6
2014/15,ODA,Malawi,31140,Agricultural water resources,273.5
2014/15,ODA,Malawi,31161,Food crop production,133.2
2014/15,ODA,Malawi,31181,Agricultural education/training,259.5
2014/15,ODA,Malawi,31182,Agricultural research,1236.8
2014/15,ODA,Malawi,32210,Mineral/mining policy and administrative management,346.2
2014/15,ODA,Malaysia,21081,Education and training in transport and storage,23.6
2014/15,ODA,Malaysia,31110,Agricultural policy and administrative management,200
2014/15,ODA,Malaysia,31163,Livestock,2
2014/15,ODA,Malaysia,33110,Trade policy and administrative management,650.9
2014/15,ODA,Malaysia,33120,Trade facilitation,49.8
2014/15,ODA,Mali,32210,Mineral/mining policy and administrative management,115.2
2014/15,ODA,Marshall Islands,23081,Energy education/training,42.5
2014/15,ODA,Marshall Islands,24040,Informal/semi-formal financial intermediaries,11
2014/15,ODA,Marshall Islands,25010,Business support services and institutions,50
2014/15,ODA,Marshall Islands,31110,Agricultural policy and administrative management,526.7
2014/15,ODA,Marshall Islands,31120,Agricultural development,42.5
2014/15,ODA,Marshall Islands,31310,Fishing policy and administrative management,411.4
2014/15,ODA,Marshall Islands,31320,Fishery development,263.2
2014/15,ODA,Marshall Islands,33110,Trade policy and administrative management,64.9
2014/15,ODA,Mauritius,32210,Mineral/mining policy and administrative management,10.6
2014/15,ODA,Mexico,31120,Agricultural development,29.9
2014/15,ODA,Mexico,33120,Trade facilitation,49.8
2014/15,ODA,"Micronesia, Fed. Sts.",24040,Informal/semi-formal financial intermediaries,22
2014/15,ODA,"Micronesia, Fed. Sts.",25010,Business support services and institutions,50
2014/15,ODA,"Micronesia, Fed. Sts.",31110,Agricultural policy and administrative management,526.7
2014/15,ODA,"Micronesia, Fed. Sts.",31310,Fishing policy and administrative management,453.9
2014/15,ODA,"Micronesia, Fed. Sts.",31320,Fishery development,263.2
2014/15,ODA,"Micronesia, Fed. Sts.",31381,Fishery education/training,8.8
2014/15,ODA,"Micronesia, Fed. Sts.",33110,Trade policy and administrative management,94.9
2014/15,ODA,Mongolia,22030,Radio/television/print media,44.9
2014/15,ODA,Mongolia,24040,Informal/semi-formal financial intermediaries,22.5
2014/15,ODA,Mongolia,25010,Business support services and institutions,44.9
2014/15,ODA,Mongolia,31110,Agricultural policy and administrative management,526.7
2014/15,ODA,Mongolia,31120,Agricultural development,158.1
2014/15,ODA,Mongolia,31163,Livestock,22.5
2014/15,ODA,Mongolia,31181,Agricultural education/training,22.5
2014/15,ODA,Mongolia,31182,Agricultural research,22.5
2014/15,ODA,Mongolia,31220,Forestry development,283.1
2014/15,ODA,Mongolia,32130,Small and medium-sized enterprises (SME) development,22.5
2014/15,ODA,Mongolia,32210,Mineral/mining policy and administrative management,5511.9
2014/15,ODA,Mongolia,32220,Mineral prospection and exploration,136.7
2014/15,ODA,Mozambique,31140,Agricultural water resources,36
2014/15,ODA,Mozambique,31181,Agricultural education/training,40.2
2014/15,ODA,Mozambique,31182,Agricultural research,1940.7
2014/15,ODA,Mozambique,32210,Mineral/mining policy and administrative management,822.8
2014/15,ODA,Myanmar,21081,Education and training in transport and storage,23.6
2014/15,ODA,Myanmar,22010,Communications policy and administrative management,85
2014/15,ODA,Myanmar,23065,Hydro-electric power plants,125
2014/15,ODA,Myanmar,24010,Financial policy and administrative management,1637
2014/15,ODA,Myanmar,24030,Formal sector financial intermediaries,22.5
2014/15,ODA,Myanmar,24040,Informal/semi-formal financial intermediaries,167.2
2014/15,ODA,Myanmar,25010,Business support services and institutions,3967.3
2014/15,ODA,Myanmar,31110,Agricultural policy and administrative management,726.7
2014/15,ODA,Myanmar,31120,Agricultural development,22.5
2014/15,ODA,Myanmar,31140,Agricultural water resources,62.5
2014/15,ODA,Myanmar,31161,Food crop production,2703.5
2014/15,ODA,Myanmar,31166,Agricultural extension,163
2014/15,ODA,Myanmar,31181,Agricultural education/training,64.9
2014/15,ODA,Myanmar,31182,Agricultural research,3148
2014/15,ODA,Myanmar,31193,Agricultural financial services,15
2014/15,ODA,Myanmar,31195,Livestock/veterinary services,252.1
2014/15,ODA,Myanmar,32130,Small and medium-sized enterprises (SME) development,65.8
2014/15,ODA,Myanmar,32182,Technological research and development,128.9
2014/15,ODA,Myanmar,32210,Mineral/mining policy and administrative management,853.3
2014/15,ODA,Myanmar,33110,Trade policy and administrative management,650.9
2014/15,ODA,Myanmar,33210,Tourism policy and administrative management,44.9
2014/15,ODA,Namibia,32210,Mineral/mining policy and administrative management,76.4
2014/15,ODA,Nepal,23010,Energy policy and administrative management,1000
2014/15,ODA,Nepal,24040,Informal/semi-formal financial intermediaries,164.1
2014/15,ODA,Nepal,31161,Food crop production,288.8
2014/15,ODA,Nepal,31166,Agricultural extension,581.7
2014/15,ODA,Nepal,31182,Agricultural research,339.9
2014/15,ODA,Nepal,31194,Agricultural co-operatives,167.4
2014/15,ODA,Nepal,31282,Forestry research,500.2
2014/15,ODA,Nepal,32110,Industrial policy and administrative management,4744.9
2014/15,ODA,Nepal,32130,Small and medium-sized enterprises (SME) development,8160
2014/15,ODA,Nepal,33110,Trade policy and administrative management,86.2
2014/15,ODA,Nigeria,23067,Solar energy,24.5
2014/15,ODA,Nigeria,31194,Agricultural co-operatives,38.7
2014/15,ODA,Nigeria,32210,Mineral/mining policy and administrative management,306.3
2014/15,ODA,Oceania Unspecified,21081,Education and training in transport and storage,3
2014/15,ODA,Oceania Unspecified,24010,Financial policy and administrative management,767.1
2014/15,ODA,Oceania Unspecified,25010,Business support services and institutions,2202.3
2014/15,ODA,Oceania Unspecified,31210,Forestry policy and administrative management,3000
2014/15,ODA,Oceania Unspecified,31310,Fishing policy and administrative management,921.3
